name,username,password_hash,type,plaintext_pass
Cart Davioud,cdavioudj@uwaterloo.ca,5a206311e45fd096661daabd4fb9013ef0135aef68d058c20d92c18680d89681,staff,RvxRPaar
Palm Snead,psneadk@uwaterloo.ca,99ef0d4bac3d31056fba983917c0ff577e3e2005f7010cb97295e0e493724eaa,student,MntRxW5Lko
Demetrius Furman,dfurmanl@uwaterloo.ca,7231c6800df4350f949679da2359297344a6ce95711842394ecdc6503f3e09e7,student,JXknMkpXav
Erda Middlewick,emiddlewickm@uwaterloo.ca,7bf35bad3ca4a02506a434d62b30e1b7d998b53f30ca0f50f98449af9b9bf25e,student,HhcGfsZVO2l
Morry Smart,msmartn@uwaterloo.ca,aebdb367eb33a5d3923eb6630b8892dd3dbbf4df6b46bc925adb01c674dcae68,student,dmEuSGcx4
Nikolia Deegan,ndeegano@uwaterloo.ca,caf2a22d836dfe765ab1dfa991b2c3f0e25af0a3364dde49e9fca158a7ef698d,student,UtH8xgXfYYN
Amalie Callis,acallisp@uwaterloo.ca,728a7535005190d975b64075c94919cbb8dc618b32c0d1b59e7b7dd818409079,student,KSZ0iXktr
Candide Simoens,csimoensq@uwaterloo.ca,552d96880cc007680a8f71b1fd472b89e4782e9ca916d64d2a9765d1507bbf2b,student,cDQwtwcCb2
Gordan Dowse,gdowser@uwaterloo.ca,89f6f1e49123f36a3bdc5af4afc0dfefb611e6020f632d81d0085fbf8f034313,student,cR3uD6nT
Leonore Melia,lmelias@uwaterloo.ca,630f83cb04e8e695e38a87a85860bafc828a27e72d78c0c66f09fe64a8bbdf8d,student,toVhzUpI
Happy Falla,hfallat@uwaterloo.ca,bff6b8cb499fa1f605ea905573b62317bac2ad5ec3de12740ea880c6664d5779,student,COX5oZJNT6
Philomena Carillo,pcarillou@uwaterloo.ca,4628c7cae6f8cefeb918167ecb72a5cd2026e1e95504fb1daba41d6b8e5bce80,student,ON0cFNCY
Samaria Lafont,slafontv@uwaterloo.ca,5e0ba5c6d221c5d9fcbe946ea6143b86819c5526522dff5aa00e4459d696faae,student,3bwQqEj03v
Yuma Jenkinson,yjenkinsonw@uwaterloo.ca,847fda1e6eda6d89d7bd136281e1b8cb2bb176286282f63d37bce47d04fb3d31,student,PwrTjIA3Z
Ninette Diggar,ndiggarx@uwaterloo.ca,f7920ea6d399c9ee80dcd9df018ec28156f778cee54001c84874b287bd177ea3,student,lApGsMD
Dacy Pleven,dpleveny@uwaterloo.ca,60f11fb3f38832dff4a9561b86c370ebf890c719ad1b7d2884aeaa444c5c64ca,student,ErgPCdBu
Zachery Rabbe,zrabbez@uwaterloo.ca,97645de9bdc836cd7949c14bd26b837aeb35cb85cf70b0613241ba8314547c7d,student,HtarDmcaU
Ash Banbrick,abanbrick10@uwaterloo.ca,5c71f926ae86243624f28fc8d4fde53b26aaace532e96af6436b74a6230ba934,student,G8AxfsUOq
Jesus Newgrosh,jnewgrosh11@uwaterloo.ca,3fbc3c376391098ec90cfb5651f84e4ddcaa59c16dbfd6e0d78c4ad55ca55aaf,student,9jfUAr
Madalyn Sillick,msillick12@uwaterloo.ca,296c41f5fdc76c25b812aff08451c98c57a97a5ad72fe2ef2ceebe72394e089c,student,XnQzAKH
Thelma Kalkhoven,tkalkhoven13@uwaterloo.ca,f077ad2ba75552a6c64407320e1602f3786f66c86264971e44dcdc40fc7dde8f,student,jM8WkdCQy
